['M', 'Iraq', 'Iraq', 'MiddleSchool', 'G-07', 'B', 'Biology', 'F', 'Father', '98', '90', '86', '71', 'Yes', 'Good', 'Under-7', 'H'],H,
['F', 'KW', 'KuwaIT', 'HighSchool', 'G-12', 'A', 'English', 'F', 'Father', '29', '39', '50', '77', 'Yes', 'Good', 'Under-7', 'M'],M,
['F', 'Jordan', 'Jordan', 'MiddleSchool', 'G-08', 'A', 'Chemistry', 'F', 'Father', '15', '9', '14', '80', 'No', 'Bad', 'Above-7', 'L'],L,
['M', 'Jordan', 'Jordan', 'MiddleSchool', 'G-07', 'A', 'IT', 'F', 'Father', '39', '40', '11', '33', 'No', 'Bad', 'Under-7', 'M'],M,
['F', 'Jordan', 'Jordan', 'MiddleSchool', 'G-06', 'A', 'English', 'S', 'Mum', '97', '87', '82', '86', 'No', 'Good', 'Under-7', 'H'],H,
['F', 'Jordan', 'Jordan', 'MiddleSchool', 'G-08', 'A', 'Geology', 'F', 'Mum', '80', '82', '64', '58', 'Yes', 'Good', 'Under-7', 'H'],M,
['M', 'KW', 'KuwaIT', 'MiddleSchool', 'G-07', 'A', 'Quran', 'F', 'Father', '20', '12', '15', '70', 'No', 'Good', 'Above-7', 'L'],L,
['F', 'KW', 'KuwaIT', 'MiddleSchool', 'G-08', 'B', 'Arabic', 'S', 'Father', '22', '51', '42', '40', 'Yes', 'Bad', 'Under-7', 'M'],M,
['M', 'Jordan', 'Jordan', 'lowerlevel', 'G-02', 'B', 'Arabic', 'S', 'Father', '35', '2', '29', '23', 'No', 'Bad', 'Above-7', 'L'],M,
['M', 'KW', 'KuwaIT', 'lowerlevel', 'G-02', 'B', 'IT', 'F', 'Father', '0', '12', '3', '3', 'Yes', 'Good', 'Above-7', 'M'],L,
['F', 'Tunis', 'USA', 'HighSchool', 'G-11', 'B', 'French', 'S', 'Father', '70', '50', '30', '49', 'Yes', 'Good', 'Under-7', 'M'],M,
['M', 'Tunis', 'Tunis', 'HighSchool', 'G-11', 'B', 'Science', 'S', 'Father', '70', '50', '33', '40', 'No', 'Good', 'Under-7', 'M'],M,
['M', 'KW', 'KuwaIT', 'lowerlevel', 'G-04', 'A', 'IT', 'F', 'Father', '5', '1', '0', '11', 'No', 'Bad', 'Above-7', 'L'],L,
['F', 'Jordan', 'Jordan', 'lowerlevel', 'G-04', 'B', 'Science', 'S', 'Mum', '12', '44', '25', '39', 'No', 'Bad', 'Under-7', 'M'],M,
['F', 'Syria', 'Syria', 'MiddleSchool', 'G-07', 'A', 'Biology', 'F', 'Mum', '96', '95', '70', '70', 'Yes', 'Good', 'Under-7', 'H'],H,
['M', 'KW', 'KuwaIT', 'MiddleSchool', 'G-07', 'A', 'Math', 'F', 'Father', '55', '13', '35', '90', 'No', 'Bad', 'Above-7', 'M'],M,
['M', 'Jordan', 'Jordan', 'lowerlevel', 'G-02', 'B', 'French', 'F', 'Father', '32', '88', '32', '25', 'Yes', 'Good', 'Under-7', 'M'],M,
['M', 'venzuela', 'venzuela', 'HighSchool', 'G-10', 'A', 'IT', 'F', 'Mum', '80', '90', '70', '80', 'Yes', 'Good', 'Under-7', 'H'],H,
['M', 'Jordan', 'Jordan', 'MiddleSchool', 'G-08', 'A', 'Chemistry', 'F', 'Mum', '80', '82', '76', '19', 'Yes', 'Good', 'Under-7', 'M'],M,
['M', 'Jordan', 'Jordan', 'lowerlevel', 'G-04', 'A', 'Science', 'F', 'Father', '10', '12', '20', '13', 'No', 'Bad', 'Above-7', 'L'],L,
['F', 'Jordan', 'Jordan', 'MiddleSchool', 'G-08', 'A', 'Geology', 'S', 'Mum', '84', '77', '79', '68', 'Yes', 'Good', 'Under-7', 'H'],M,
['M', 'KW', 'KuwaIT', 'MiddleSchool', 'G-08', 'C', 'Spanish', 'S', 'Father', '17', '21', '42', '14', 'Yes', 'Good', 'Under-7', 'M'],M,
['M', 'KW', 'KuwaIT', 'lowerlevel', 'G-02', 'B', 'IT', 'F', 'Father', '7', '5', '2', '80', 'Yes', 'Good', 'Above-7', 'L'],L,
['F', 'Jordan', 'Jordan', 'lowerlevel', 'G-02', 'B', 'French', 'S', 'Mum', '23', '82', '20', '30', 'No', 'Good', 'Under-7', 'H'],M,
['F', 'Jordan', 'Jordan', 'MiddleSchool', 'G-08', 'A', 'Geology', 'S', 'Mum', '87', '93', '63', '60', 'Yes', 'Good', 'Under-7', 'H'],H,
['M', 'KW', 'KuwaIT', 'lowerlevel', 'G-04', 'A', 'IT', 'F', 'Father', '10', '7', '0', '30', 'No', 'Bad', 'Above-7', 'L'],L,
['M', 'Jordan', 'Jordan', 'lowerlevel', 'G-02', 'B', 'French', 'S', 'Mum', '35', '97', '41', '23', 'Yes', 'Good', 'Under-7', 'H'],M,
['F', 'Jordan', 'Jordan', 'lowerlevel', 'G-02', 'B', 'French', 'S', 'Mum', '25', '89', '21', '13', 'Yes', 'Good', 'Under-7', 'M'],H,
['M', 'Tunis', 'Tunis', 'MiddleSchool', 'G-07', 'A', 'Quran', 'F', 'Father', '10', '60', '5', '20', 'Yes', 'Bad', 'Above-7', 'L'],M,
['F', 'KW', 'KuwaIT', 'MiddleSchool', 'G-07', 'A', 'IT', 'F', 'Father', '60', '60', '33', '90', 'No', 'Bad', 'Above-7', 'M'],M,
['F', 'Jordan', 'lebanon', 'lowerlevel', 'G-04', 'B', 'Science', 'S', 'Mum', '72', '84', '89', '89', 'Yes', 'Good', 'Under-7', 'H'],H,
['M', 'KW', 'KuwaIT', 'lowerlevel', 'G-02', 'B', 'IT', 'F', 'Father', '5', '20', '1', '50', 'Yes', 'Good', 'Above-7', 'L'],L,
['M', 'lebanon', 'lebanon', 'MiddleSchool', 'G-08', 'A', 'Math', 'F', 'Father', '20', '14', '12', '19', 'No', 'Bad', 'Above-7', 'L'],L,
['F', 'Jordan', 'Jordan', 'MiddleSchool', 'G-08', 'A', 'Geology', 'F', 'Father', '25', '82', '52', '20', 'Yes', 'Good', 'Above-7', 'M'],M,
['M', 'KW', 'KuwaIT', 'MiddleSchool', 'G-08', 'A', 'Arabic', 'S', 'Mum', '85', '75', '62', '53', 'Yes', 'Bad', 'Under-7', 'H'],M,
['F', 'KW', 'KuwaIT', 'MiddleSchool', 'G-07', 'A', 'IT', 'F', 'Father', '14', '13', '3', '70', 'No', 'Bad', 'Above-7', 'L'],L,
['M', 'lebanon', 'lebanon', 'MiddleSchool', 'G-08', 'A', 'Arabic', 'S', 'Mum', '10', '35', '30', '13', 'No', 'Bad', 'Above-7', 'L'],M,
['F', 'Jordan', 'Jordan', 'lowerlevel', 'G-02', 'A', 'French', 'F', 'Mum', '10', '90', '30', '21', 'No', 'Good', 'Under-7', 'M'],M,
['F', 'KW', 'KuwaIT', 'MiddleSchool', 'G-06', 'A', 'IT', 'F', 'Father', '30', '40', '22', '66', 'Yes', 'Good', 'Under-7', 'M'],M,
['M', 'Palestine', 'Palestine', 'MiddleSchool', 'G-08', 'A', 'Geology', 'F', 'Father', '80', '87', '74', '68', 'Yes', 'Good', 'Under-7', 'M'],M,
['M', 'lebanon', 'Jordan', 'MiddleSchool', 'G-08', 'A', 'Arabic', 'S', 'Mum', '87', '65', '82', '33', 'Yes', 'Good', 'Under-7', 'H'],M,
['F', 'USA', 'USA', 'HighSchool', 'G-12', 'A', 'IT', 'F', 'Mum', '70', '69', '35', '30', 'Yes', 'Good', 'Under-7', 'H'],M,
['M', 'KW', 'KuwaIT', 'MiddleSchool', 'G-07', 'A', 'Quran', 'S', 'Father', '80', '80', '15', '70', 'Yes', 'Good', 'Under-7', 'H'],H,
['M', 'Jordan', 'Jordan', 'MiddleSchool', 'G-08', 'A', 'History', 'F', 'Mum', '87', '92', '74', '89', 'Yes', 'Good', 'Under-7', 'H'],H,
['F', 'KW', 'KuwaIT', 'lowerlevel', 'G-07', 'A', 'IT', 'F', 'Father', '2', '19', '10', '50', 'Yes', 'Good', 'Above-7', 'L'],M,
['M', 'Jordan', 'Jordan', 'lowerlevel', 'G-02', 'A', 'French', 'F', 'Father', '40', '7', '50', '41', 'No', 'Good', 'Above-7', 'L'],M,
['F', 'Jordan', 'Jordan', 'lowerlevel', 'G-04', 'B', 'Science', 'F', 'Mum', '11', '20', '21', '23', 'No', 'Bad', 'Under-7', 'M'],L,
['F', 'lebanon', 'lebanon', 'MiddleSchool', 'G-06', 'A', 'English', 'F', 'Mum', '95', '82', '82', '70', 'Yes', 'Good', 'Under-7', 'H'],H,
['M', 'Jordan', 'SaudiArabia', 'lowerlevel', 'G-02', 'B', 'Arabic', 'S', 'Mum', '5', '0', '1', '8', 'No', 'Good', 'Above-7', 'L'],L,
['F', 'Jordan', 'Jordan', 'MiddleSchool', 'G-08', 'A', 'Chemistry', 'S', 'Mum', '84', '92', '29', '43', 'Yes', 'Good', 'Under-7', 'H'],H,
['F', 'Jordan', 'Jordan', 'MiddleSchool', 'G-06', 'A', 'English', 'F', 'Mum', '70', '64', '42', '32', 'No', 'Bad', 'Under-7', 'M'],H,
['F', 'lebanon', 'lebanon', 'MiddleSchool', 'G-08', 'A', 'Arabic', 'S', 'Mum', '45', '58', '52', '43', 'Yes', 'Good', 'Under-7', 'H'],M,
['M', 'Jordan', 'Jordan', 'MiddleSchool', 'G-08', 'A', 'Chemistry', 'S', 'Mum', '79', '88', '79', '20', 'Yes', 'Good', 'Above-7', 'M'],M,
['F', 'KW', 'KuwaIT', 'lowerlevel', 'G-02', 'B', 'IT', 'F', 'Father', '100', '80', '2', '70', 'No', 'Bad', 'Under-7', 'H'],H,
['F', 'Jordan', 'Jordan', 'MiddleSchool', 'G-07', 'B', 'Biology', 'S', 'Mum', '59', '90', '19', '43', 'No', 'Good', 'Under-7', 'H'],M,
['M', 'Palestine', 'Jordan', 'MiddleSchool', 'G-07', 'B', 'Biology', 'F', 'Father', '88', '90', '76', '81', 'Yes', 'Good', 'Under-7', 'H'],H,
